ASSET_ID,RELEASE_YEAR,MPAA_RATING,GENRE,IMDB_RATING,IMDB_RANKING,IMDB_VOTES,Oscar-Nomination,Oscar-Wins,Other - Nominations,Other - Wins,TOMATO_METER,TOMATO_RATING,TOMATO_REVIEWS,TOMATO_FRESH,TOMATO_ROTTEN,TOMATO_USER_METER,TOMATO_USER_RATINGS,TOMATO_USER_REVIEWS,TOMATO_IMAGE,BOX_OFFICE_EARNINGS
190559,1960,APPROVED,"Comedy, War",6.2,N/A,"1,361",0,0,0,0,N/A,N/A,N/A,N/A,N/A,49,3.2,1330,N/A,NULL
173052,1994,R,"Action, Sport, Thriller",4,N/A,"2,432",0,0,0,0,N/A,N/A,N/A,N/A,N/A,32,3,809,N/A,NULL
174502,1952,APPROVED,"Action, Adventure, Western",7.4,N/A,"5,178",0,0,0,0,100,8.3,6,6,0,79,3.6,3087,fresh,NULL
191993,2008,N/A,Comedy,5.8,N/A,562,0,0,1,1,67,6.4,6,4,2,41,3.1,264,fresh,NULL
200437,1975,R,"Action, Thriller",6.4,N/A,"11,711",0,0,0,0,69,6.4,13,9,4,55,3.2,7723,fresh,NULL
172861,1979,R,"Horror, Romance",6.4,N/A,"6,517",0,0,4,1,58,6,12,7,5,59,3.1,9667,rotten,NULL
174576,1999,R,"Horror, Thriller",7.1,46,"27,552",0,0,4,1,43,5.6,46,20,26,78,3.6,21142,rotten,NULL
175077,1976,PG,Comedy,6.7,N/A,"11,757",0,0,5,1,81,7,21,17,4,72,3.4,13077,fresh,NULL
182947,2009,N/A,"Drama, Romance",5,N/A,534,0,0,0,0,67,5.8,12,8,4,26,2.8,1156,fresh,NULL
172917,1955,APPROVED,"Action, Biography, Drama",7.5,N/A,"3,513",0,0,0,0,100,7.4,5,5,0,82,3.8,4955,fresh,NULL
195682,2011,N/A,"Short, Comedy",6.1,N/A,17,0,0,1,0,N/A,N/A,N/A,N/A,N/A,100,0,1,N/A,NULL
172382,1952,APPROVED,Western,6.2,N/A,491,0,0,0,0,N/A,N/A,N/A,N/A,N/A,50,3.1,48,N/A,NULL
185261,1953,APPROVED,"Drama, Romance, Western",7.7,N/A,"26,286",1,1,9,4,97,8.4,30,29,1,81,3.7,15115,fresh,NULL
196200,2001,R,"Drama, History, War",7.8,N/A,"11,413",0,0,21,7,N/A,N/A,N/A,N/A,N/A,87,4,3257,N/A,NULL
173539,2010,PG-13,Horror,5.1,N/A,"2,883",0,0,0,0,N/A,N/A,N/A,N/A,N/A,21,2.6,574,N/A,NULL
173559,2000,UNRATED,"Crime, Drama",7.2,75,"14,815",0,0,1,1,98,7.7,54,53,1,80,3.7,9352,certified,NULL
204191,2013,R,"Action, Crime, Drama",6.5,40,"73,219",0,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
173746,1999,R,"Comedy, Crime, Drama",6.6,63,"31,560",1,0,5,1,50,5.7,54,27,27,77,3.2,49935,rotten,NULL
173327,1999,R,"Horror, Thriller",6.2,28,"51,702",0,0,6,0,22,4.1,88,19,69,63,3.1,93345,rotten,NULL
195406,2011,R,"Crime, Drama, Thriller",4.9,N/A,"2,434",0,0,1,0,N/A,N/A,N/A,N/A,N/A,19,2.7,479,N/A,NULL
185457,1999,R,"Drama, Romance",8.4,86,733239,5,5,82,115,88,8.2,181,160,21,93,3.8,656789,certified,NULL
191005,2009,N/A,Drama,7.2,73,536,0,0,3,1,92,7.3,12,11,1,66,3.6,316,fresh,NULL
175026,1980,R,"Comedy, Sport",7.4,N/A,"75,261",0,0,0,0,75,6.7,48,36,12,88,3.6,202511,certified,NULL
200411,1998,R,"Comedy, Crime, Thriller",6.3,31,"38,031",0,0,3,2,44,5.6,52,23,29,58,3,35087,rotten,NULL
202117,2000,PG-13,"Drama, Romance",6.6,N/A,"5,598",0,0,1,1,74,6.5,19,14,5,64,3.3,4711,fresh,NULL
173127,1997,R,"Crime, Drama, Thriller",6.1,N/A,"7,425",0,0,1,1,61,6.1,31,19,12,36,3,3141,fresh,NULL
185553,2008,N/A,"Documentary, Short",4.3,N/A,9,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
174331,1993,PG,"Action, Comedy, Fantasy",4.9,N/A,"4,901",0,0,1,0,29,4.3,14,4,10,37,2.5,6344,rotten,NULL
172651,2004,N/A,Short,7.9,N/A,35,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
201490,1982,R,"Drama, Music",6.6,N/A,674,0,0,1,0,N/A,N/A,3,3,0,61,3.5,506,N/A,NULL
172125,1995,R,"Comedy, Crime",6.7,N/A,"70,811",0,0,1,1,14,3.5,44,6,38,70,3.4,55082,rotten,NULL
174394,1993,PG,"Comedy, Drama, Romance",7.2,N/A,"42,930",0,0,4,0,75,5.8,32,24,8,85,3.6,143050,fresh,NULL
187864,2006,N/A,"Animation, Short",7.2,N/A,44,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
188004,2009,N/A,Drama,6.8,N/A,"3,990",0,0,3,1,50,5.9,6,3,3,59,3.4,1735,rotten,NULL
174017,1952,NOT RATED,Drama,7.3,N/A,"2,449",0,0,2,0,78,6.9,9,7,2,72,3.7,838,fresh,NULL
194824,2008,R,"Action, Biography, Crime",7.1,71,"69,100",0,0,5,3,76,6.6,78,59,19,74,3.7,15566,certified,NULL
181035,2007,N/A,"Short, Comedy",7.4,N/A,9,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,NULL
173401,1998,PG-13,Comedy,6.7,60,"5,362",0,0,0,0,67,6.8,12,8,4,73,3.5,9314,fresh,NULL
185298,2006,PG-13,"Action, Crime, Drama",6.6,63,107752,0,0,1,0,55,5.9,159,88,71,58,3.2,163555,rotten,"$36,900,000"
